rn,bnk_type,cregnum,ogrn,bnk_name,opf,reg_date,lic_status,bnk_addr,regn,bank_name,bank_name_norm
1,,2659,1022200531484.0,"ООО КБ ""Алтайкапиталбанк""",ООО (Паевое),1994-01-21,Действующая,"656043, Алтайский край, г.Барнаул, ул.Л.Толстого, 38а",2659,"ООО КБ ""Алтайкапиталбанк""",АЛТАЙКАПИТАЛБАНК
2,,1927,1022200525841.0,"АО КБ ""Модульбанк""",НПАО,1992-06-23,Действующая,"Костромская область, г.о. город Кострома, г. Кострома, пл. Октябрьская, д. 1",1927,"АО КБ ""Модульбанк""",МОДУЛЬБАНК
3,,2337,1022200525786.0,"АО ""Зернобанк""",НПАО,1993-05-13,Отозванная,"656056, Алтайский край, г.Барнаул, ул.Анатолия, 6",2337,"АО ""Зернобанк""",ЗЕРНОБАНК
4,Расчетная НКО,3166,1025400002968.0,"РНКО ""Платежный Центр"" (ООО)",ООО (Паевое),1994-12-02,Действующая,"630102, город Новосибирск, улица Кирова, дом 86",3166,"РНКО ""Платежный Центр"" (ООО)",РНКО ПЛАТЕЖНЫЙ ЦЕНТР
5,,826,1022200529537.0,"ООО ""КБ ""Тальменка-банк""",ООО (Паевое),1990-11-16,Отозванная,"656037, Алтайский край, г.Барнаул, пр.Ленина, 156-а",826,"ООО ""КБ ""Тальменка-банк""",ТАЛЬМЕНКА-БАНК
6,,2015,1022200525819.0,"""СИБСОЦБАНК"" ООО",ООО (Паевое),1992-08-21,Действующая,"656049, Алтайский край, г.Барнаул, пр-кт Ленина,д. 61а",2015,"""СИБСОЦБАНК"" ООО",СИБСОЦБАНК
7,,2518,1022300003703.0,"КБ ""Кубань Кредит"" ООО",ООО (Паевое),1993-09-28,Действующая,"350000, г. Краснодар, ул. им. Орджоникидзе, дом № 46 / ул. Красноармейская, дом  № 32",2518,"КБ ""Кубань Кредит"" ООО",КУБАНЬ КРЕДИТ
8,,2772,1022300001811.0,ЮГ-Инвестбанк (ПАО),ПАО,1994-04-05,Действующая,"350000, г. Краснодар, ул. Красная, 113",2772,ЮГ-Инвестбанк (ПАО),ЮГ-ИНВЕСТБАНК
9,,2167,1022300000051.0,"ПАО ""Банк Екатерининский""",ПАО,1992-11-30,Отозванная,"115035, г. Москва, Кадашевская набережная, д. 32/2, стр. 1",2167,"ПАО ""Банк Екатерининский""",ЕКАТЕРИНИНСКИЙ
10,,481,1022300003021.0,"ООО КБ ""РостФинанс""",ООО (Паевое),1990-10-15,Действующая,"344019, г. Ростов-на-Дону, ул. 1-я Майская, 13а/11а",481,"ООО КБ ""РостФинанс""",РОСТФИНАНС
11,,478,1022300000502.0,"АО ""Кубаньторгбанк""",НПАО,1990-10-15,Действующая,"350075, г. Краснодар, ул. им. Стасова, дом 176",478,"АО ""Кубаньторгбанк""",КУБАНЬТОРГБАНК
12,,625,1062300007901.0,Банк - Т (ОАО),ОАО (АО),1990-10-30,Отозванная,"123610, г. Москва, Краснопресненская наб., д. 12",625,Банк - Т (ОАО),БАНК-Т
13,,467,1022300001272.0,"ООО КБ ""Новопокровский""",ООО (Паевое),1990-10-11,Отозванная,"350059, г. Краснодар, Карасунский внутригородской округ, ул. Волжская/ул.им. Глинки, дом №47/77",467,"ООО КБ ""Новопокровский""",НОВОПОКРОВСКИЙ
14,,2898,1022300000062.0,"КБ ""Кубанский универсальный банк"" (ООО)",ООО (Паевое),1994-06-10,Отозванная,"350063, г. Краснодар, ул. Пушкина, 36",2898,"КБ ""Кубанский универсальный банк"" (ООО)",КУБАНСКИЙ УНИВЕРСАЛЬНЫЙ БАНК
15,,1052,1077711000080.0,АО «ТелеПорт Банк»,НПАО,1990-12-03,Действующая,"119049, г. Москва, ул. Мытная, д. 1, стр. 1, этаж 2, помещение 1",1052,АО «ТелеПорт Банк»,ТЕЛЕПОРТ БАНК
16,,430,1022300000447.0,"ПАО ""ИДЕЯ Банк""",ПАО,1990-10-01,Отозванная,"350080, г. Краснодар, ул. Уральская, 97",430,"ПАО ""ИДЕЯ Банк""",ИДЕЯ БАНК
17,,456,1022300002670.0,"АКБ ""Крыловский"" (АО)",НПАО,1990-10-10,Отозванная,"350059, г. Краснодар, Центральный округ, ул. 9-го Мая, дом № 46а",456,"АКБ ""Крыловский"" (АО)",КРЫЛОВСКИЙ
18,,518,1022300001063.0,"Банк ""Первомайский"" (ПАО)",ПАО,1990-10-19,Отозванная,"350020 г. Краснодар, ул. Красная, 139",518,"Банк ""Первомайский"" (ПАО)",ПЕРВОМАЙСКИЙ
19,,860,1022400010005.0,"КБ ""Канский"" ООО",ООО (Паевое),1990-11-21,Отозванная,"662520, Красноярский край, Березовский р-н, п. Березовка, 5 км а/д Красноярск-Железногорск",860,"КБ ""Канский"" ООО",КАНСКИЙ
20,,2645,1022400000160.0,"АО АИКБ ""Енисейский объединенный банк""",НПАО,1994-01-06,Действующая,"660049, г. Красноярск, ул. Карла Маркса, дом 62, пом. 25, 26, 27",2645,"АО АИКБ ""Енисейский объединенный банк""",АИКБ ЕНИСЕЙСКИЙ ОБЪЕДИНЕННЫЙ БАНК
21,,3245,1022400003944.0,ПАО ФИНСТАР БАНК,ПАО,1995-03-27,Действующая,"196084, г. Санкт-Петербург, ул. Черниговская, 8, лит. А, пом. 1-Н",3245,ПАО ФИНСТАР БАНК,ФИНСТАР БАНК
22,,474,1022400007508.0,"АКБ ""ЕНИСЕЙ"" (ПАО)",ПАО,1990-10-12,Отозванная,"660075, г. Красноярск, ул. Республики, дом 51",474,"АКБ ""ЕНИСЕЙ"" (ПАО)",ЕНИСЕЙ
23,,3001,1022500000566.0,"ПАО АКБ ""Приморье""",ПАО,1994-07-27,Действующая,"690091, Приморский край, г.Владивосток, ул.Светланская, 47",3001,"ПАО АКБ ""Приморье""",ПРИМОРЬЕ
24,,2733,1022500001061.0,"ПАО СКБ Приморья ""Примсоцбанк""",ПАО,1994-03-04,Действующая,"690106 Приморский край г.Владивосток Партизанский проспект, 44",2733,"ПАО СКБ Приморья ""Примсоцбанк""",СКБ ПРИМОРЬЯ ПРИМСОЦБАНК
25,,843,1022500000786.0,"АО ""Дальневосточный банк""",НПАО,1990-11-20,Действующая,"690990, г.Владивосток, ул. Верхнепортовая, 27-а",843,"АО ""Дальневосточный банк""",ДАЛЬНЕВОСТОЧНЫЙ БАНК
26,,21,1022500001325.0,"ООО ""Примтеркомбанк""",ООО (Паевое),1991-12-06,Действующая,"690091, Приморский край, г. Владивосток, ул.Семеновская, д.6г",21,"ООО ""Примтеркомбанк""",ПРИМТЕРКОМБАНК
27,,85,1022500001930.0,"АО КБ ""САММИТ БАНК""",НПАО,1991-04-22,Действующая,"690106, Приморский край, г.Владивосток, пр. Красного Знамени,3",85,"АО КБ ""САММИТ БАНК""",САММИТ БАНК
28,,1139,1022600000158.0,"АКБ ""Русский Трастовый Банк"" (АО)",НПАО,1990-12-10,Отозванная,"125009, г. Москва, улица Большая Никитская, дом 16",1139,"АКБ ""Русский Трастовый Банк"" (АО)",РУССКИЙ ТРАСТОВЫЙ БАНК
29,,779,1022600000114.0,"ООО ""РУСБС""",ООО (Паевое),1990-11-14,Действующая,"Ставропольский край, город-курорт Ессентуки, г. Ессентуки, ул. Гагарина, д. 13",779,"ООО ""РУСБС""",РУСБС
30,,1869,1022600000059.0,"ПАО КБ ""ЕвроситиБанк""",ПАО,1992-05-20,Отозванная,"141002, Московская область, г. Мытищи, ул. Комарова, д. 5",1869,"ПАО КБ ""ЕвроситиБанк""",ЕВРОСИТИБАНК
31,,1288,1022600000092.0,"ПАО ""Банк Ставр""",ПАО,1990-12-26,Действующая,"355041, Ставропольский край, г.Ставрополь, ул. Краснофлотская, 88а",1288,"ПАО ""Банк Ставр""",СТАВР
32,,596,1022700002654.0,"Банк ""Уссури"" (АО)",НПАО,1990-10-26,Отозванная,"Российская Федерация, 680013, город Хабаровск, улица Карла Маркса, дом 96 А",596,"Банк ""Уссури"" (АО)",УССУРИ
33,,783,1022700000685.0,"АО ""Роял Кредит Банк""",НПАО,1990-11-14,Действующая,"690068, город Владивосток, проспект 100-летия Владивостока, дом 155, литер Б, 3 этаж",783,"АО ""Роял Кредит Банк""",РОЯЛ КРЕДИТ БАНК
34,,1810,1022800000079.0,"""Азиатско-Тихоокеанский Банк"" (АО)",НПАО,1992-02-14,Действующая,"Российская Федерация, 675004, Амурская область, г. Благовещенск, ул. Амурская, д. 225",1810,"""Азиатско-Тихоокеанский Банк"" (АО)",АЗИАТСКО-ТИХООКЕАНСКИЙ БАНК
35,,2398,1022900001772.0,"АО КБ ""Северный Кредит""",НПАО,1993-06-25,Отозванная,"160000, Вологодская область, г. Вологда, ул. Герцена, д. 27",2398,"АО КБ ""Северный Кредит""",СЕВЕРНЫЙ КРЕДИТ
36,,1946,1023000927520.0,ПАО АГРОИНКОМБАНК,ПАО,1992-07-06,Отозванная,"414000, город Астрахань, пл. Ленина/ул. Бурова, 10/3, помещение 73",1946,ПАО АГРОИНКОМБАНК,АГРОИНКОМБАНК
37,,1765,1023000817388.0,АО ЕАТПБанк,НПАО,1992-04-13,Действующая,"414000 г.Астрахань ул.Ногина, 3",1765,АО ЕАТПБанк,ЕАТПБАНК
38,,1087,1023001538340.0,"АО Банк ""ККБ""",НПАО,1990-12-05,Отозванная,"414040, г. Астрахань, ул. Адмиралтейская, 47",1087,"АО Банк ""ККБ""",ККБ
39,,760,1023100000560.0,"АО УКБ ""Белгородсоцбанк""",НПАО,1990-10-31,Действующая,"Российская Федерация, Белгородская область, г. Белгород, Свято-Троицкий бульвар, д. 38",760,"АО УКБ ""Белгородсоцбанк""",УКБ БЕЛГОРОДСОЦБАНК
40,,650,1023200000010.0,"АО ""Почта Банк""",НПАО,1990-10-31,Действующая,"107061, г. Москва, Преображенская пл., д. 8",650,"АО ""Почта Банк""",ПОЧТА БАНК
41,,903,1023300000063.0,"АО ""ВЛАДБИЗНЕСБАНК""",НПАО,1993-01-19,Действующая,"600015, г.Владимир, пр-т Ленина,35",903,"АО ""ВЛАДБИЗНЕСБАНК""",ВЛАДБИЗНЕСБАНК
42,,870,1023300000052.0,"ООО ""Владпромбанк""",ООО (Паевое),1990-11-21,Отозванная,"600020, г.Владимир, ул. Большая Нижегородская, д.9",870,"ООО ""Владпромбанк""",ВЛАДПРОМБАНК
43,,3202,1023400000018.0,АО НОКССБАНК,НПАО,1995-01-25,Действующая,"400005, г. Волгоград, ул. 7-й Гвардейской, дом 2",3202,АО НОКССБАНК,НОКССБАНК
44,,558,1027800000040.0,"АО Банк ""Советский""",НПАО,1990-10-24,Отозванная,"194044, г. Санкт-Петербург, Большой Сампсониевский пр., д. 4-6, лит. А",558,"АО Банк ""Советский""",СОВЕТСКИЙ
45,,2816,1023500000160.0,"АО ""БАНК СГБ""",НПАО,1994-04-29,Действующая,"160001 г.Вологда, ул. Благовещенская д. 3",2816,"АО ""БАНК СГБ""",СГБ
46,,1896,1023500000655.0,"АО ""Банк ""Вологжанин""",НПАО,1992-05-21,Действующая,"160000, г. Вологда, ул. Козленская, д. 10",1896,"АО ""Банк ""Вологжанин""",ВОЛОГЖАНИН
47,,2728,1023500000028.0,"АО ""Промэнергобанк""",НПАО,1994-03-04,Отозванная,"160009 г. Вологда, ул. Чехова, д. 30",2728,"АО ""Промэнергобанк""",ПРОМЭНЕРГОБАНК
48,,992,1023500000040.0,"АО ""Вологдабанк""",НПАО,1990-11-28,Отозванная,"160001, г.Вологда, ул. Мира, д. 36",992,"АО ""Вологдабанк""",ВОЛОГДАБАНК
49,,1002,1033501065730.0,"АО Комсоцбанк ""Бумеранг""",НПАО,1990-11-28,Отозванная,"162602, Вологодская обл., г.Череповец, ул. Коммунистов д. 22",1002,"АО Комсоцбанк ""Бумеранг""",КОМСОЦБАНК БУМЕРАНГ
50,,654,1023600002084.0,"АО ""Банк Воронеж""",НПАО,1990-10-31,Отозванная,"394006, г. Воронеж, ул. Челюскинцев, 149",654,"АО ""Банк Воронеж""",ВОРОНЕЖ
51,,3300,1025200001661.0,"АО ""КОШЕЛЕВ-БАНК""",НПАО,1996-07-30,Действующая,"443100, г. Самара, ул. Маяковского, д. 14",3300,"АО ""КОШЕЛЕВ-БАНК""",КОШЕЛЕВ-БАНК
52,,1118,1025200000330.0,"ПАО ""О.К. Банк""",ПАО,1990-12-07,Отозванная,"150040, Ярославская область, г. Ярославль, ул. Чайковского, д.62/30",1118,"ПАО ""О.К. Банк""",О.К. БАНК
53,,1281,1025200000011.0,"АО комбанк ""Арзамас""",НПАО,1990-12-24,Действующая,"607220, Нижегородская область, г.Арзамас, улица Кирова, 33",1281,"АО комбанк ""Арзамас""",КОМБАНК АРЗАМАС
54,,1966,1025200000022.0,"ПАО ""НБД-Банк""",ПАО,1992-07-27,Действующая,"г. Нижний Новгород, пл. Максима Горького, д.6",1966,"ПАО ""НБД-Банк""",НБД-БАНК
55,,1277,1025200000077.0,"Банк ""Богородский"" (ООО)",ООО (Паевое),1990-12-24,Отозванная,"607600, Нижегородская область, г.Богородск, улица Ленина, 185",1277,"Банк ""Богородский"" (ООО)",БОГОРОДСКИЙ
56,,1166,1025200001001.0,"ПАО НКБ ""РАДИОТЕХБАНК""",ПАО,1990-12-12,Отозванная,"603155, г. Нижний Новгород, ул. Максима Горького, д. 262, пом. П4",1166,"ПАО НКБ ""РАДИОТЕХБАНК""",НКБ РАДИОТЕХБАНК
57,,1114,1025200000198.0,"ПАО Комбанк ""Химик""",ПАО,1990-12-07,Действующая,"606008, Нижегородская область, г.Дзержинск, улица Урицкого, 10 - Б",1114,"ПАО Комбанк ""Химик""",КОМБАНК ХИМИК
